".id","login","id","name","company","location","followers","following","created_at","orgs"
"bbc","9point6",627697,"John Sanderson","BBC","United Kingdom",14,11,"2011-02-19T23:58:49Z","bbc, bbc-fm-nk-core-eng, bbc-sport, bbc-gel"
"bbc","AlecRust",247634,"Alec Rust","Rustable Ltd","United Kingdom",16,101,"2010-04-19T20:34:13Z","bbc, bbc-sport, suit-utils"
"bbc","andystanton",1374614,"Andy Stanton","BBC","London, UK",15,10,"2012-01-24T11:43:02Z","bbc, docker-exec"
"bbc","anthonygreen",1336742,"Anthony Green","BBC","London",11,4,"2012-01-17T13:54:40Z","bbc"
"bbc","bbc-frameworks",287716,"BBC Frameworks","BBC","London",62,1,"2010-05-26T14:38:58Z","bbc"
"bbc","benjdlambert",3645856,"Ben Lambert","BBC",NA,20,6,"2013-02-20T09:21:53Z","facebook, bbc, BBC-News, BBC-Data, bbc-fm-nk-core-eng, bbc-sport"
"bbc","betandr",1080525,"Elisabeth Anderson","BBC","London ",7,34,"2011-09-26T12:30:39Z","bbc, bbc-rmp"
"bbc","blanquish",981085,"Blanca Garcia Gil","","London, UK",13,4,"2011-08-15T14:02:09Z","bbc, BBC-Data, bluechestnut"
"bbc","BogdanDogaru",2587947,"Bogdan Dogaru","BBC","London, UK",5,1,"2012-10-18T09:22:50Z","bbc, BBC-News, BBCVisualJournalism"
"bbc","BPScott",227292,"Ben Scott","BBC Future Media","London, UK",16,2,"2010-03-21T13:12:34Z","bbc, SVEllipsis"
"bbc","cejast",5588391,"Cem Staveley","BBC","London",2,0,"2013-10-01T18:41:20Z","bbc"
"bbc","citypaul",5850178,"Paul Hammond",NA,NA,2,3,"2013-11-04T11:30:31Z","bbc, bbc-sport"
"bbc","cnorthwood",462992,"Chris Northwood","BBC","Manchester, UK",41,13,"2010-11-01T17:10:49Z","DMDirc, mollyproject, bbc, WorldIRC, BBCConnectedStudio, bbc-fm-nk-core-eng, openraildata"
"bbc","Crystalh",319834,"Crystal Hirschorn","BBC News","London",17,19,"2010-07-01T09:09:05Z","bbc"
"bbc","daniel-ellis",6839913,"Dan Ellis","","Manchester, UK",4,0,"2014-03-03T13:17:52Z","bbc, BBC-Knowlearn, bbc-sport"
"bbc","darrenlucas",179702,"Darren Lucas","BBC","London, United Kingdom",3,0,"2010-01-10T22:51:29Z","bbc"
"bbc","Daveloper87",8749809,"Dai Williams","BBC","",4,4,"2014-09-12T12:51:43Z","bbc"
"bbc","davidjwbbc",9946409,"David Waring","British Broadcasting Corporation","MediaCityUK, Salford, England",2,0,"2014-11-25T11:34:09Z","bbc"
"bbc","derekhorne",10130599,"Derek Horne","BBC","",2,3,"2014-12-09T14:26:14Z","bbc"
"bbc","dhinus",474311,"Francesco Negri","BBC","London, United Kingdom",27,28,"2010-11-09T16:07:43Z","bbc, biosmusic, BBC-News-Labs"
"bbc","dineshraj",1038235,"Dineshraj Goomany","BBC","",5,5,"2011-09-09T09:47:20Z","bbc, iplayer"
"bbc","djorak",2163258,"Julien Mazé","BBC","Glasgow",3,1,"2012-08-16T13:27:53Z","bbc, BBC-Knowlearn, bbc-fm-nk-core-eng"
"bbc","ianarundale",623015,"Ian Arundale","British Broadcasting Corporation","London/Manchester",12,5,"2011-02-17T10:23:14Z","bbc, fmtvp"
"bbc","imjacobclark",1641689,"Jacob Clark","BBC","Manchester, United Kingdom",38,15,"2012-04-13T21:49:37Z","bbc, BBC-Knowlearn, bbc-fm-nk-core-eng, government"
"bbc","jackpopp",1695389,"Jack Hannigan Popp","","United Kingdom",5,2,"2012-05-01T13:00:05Z","bbc, BBC-News"
"bbc","jamie-pitts",8750261,"Jamie Pitts","BBC","England",0,0,"2014-09-12T13:36:20Z","bbc, BBC-News"
"bbc","Jaybeetee",8748736,"James Tosh","BBC","",0,0,"2014-09-12T10:47:51Z","bbc"
"bbc","jgjay",49826,"Gavin James","Financial Times","London",9,1,"2009-01-28T01:37:26Z","bbc, Financial-Times"
"bbc","jrcryer",217893,"James Cryer","BBC","Cardiff UK",42,15,"2010-03-07T18:50:56Z","bbc, BBC-News, bbc-fm-nk-core-eng, BBC-News-Labs"
"bbc","LloydW93",2572695,"Lloyd Wallis","British Broadcasting Corporation","UK",8,0,"2012-10-16T12:30:02Z","UniversityRadioYork, bbc, YSTV, iplayer"
"bbc","LPardue",6571445,"Lucas Pardue","","London",1,2,"2014-02-03T03:49:05Z","bbc"
"bbc","lwilkins",1379212,"Liam Wilkins",NA,NA,4,0,"2012-01-25T14:24:28Z","bbc, BBC-News, bbc-sport, bbc-gel"
"bbc","MatthewDooler",6115310,"Matthew Dooler","","London",7,4,"2013-12-05T15:24:22Z","bbc, bbc-fm-nk-core-eng, BBC-PIPS, StAndrewsRadio"
"bbc","mazurio",6534301,"Damian Mazurkiewicz","BBC","Cardiff / London",6,17,"2014-01-29T11:56:40Z","bbc, BBC-News, bbc-sport"
"bbc","mlin6436",2728487,"Meng Lin","","United Kingdom",1,3,"2012-11-05T17:30:57Z","bbc, KingsCollegeHospital, fmtvp, bbc-fm-nk-core-eng"
